Date;Value
2019/09/13;2619.41313
2019/09/16;2629.57222
2019/09/17;2620.9882
2019/09/18;2618.83454
2019/09/19;2622.25022
2019/09/20;2627.53012
2019/09/23;2625.77424
2019/09/24;2612.4792
2019/09/25;2622.13815
2019/09/26;2626.64866
2019/09/27;2616.40833
2019/09/30;2631.52639
2019/10/01;2604.63293
2019/10/02;2556.12833
2019/10/03;2558.09126
2019/10/04;2584.00631
2019/10/07;2577.73467
2019/10/08;2557.99875
2019/10/09;2566.53432
2019/10/10;2572.97348
2019/10/11;2602.99586
2019/10/14;2602.88537
2019/10/15;2623.42627
2019/10/16;2620.97266
2019/10/17;2613.59298
2019/10/18;2600.5218
2019/10/21;2614.97779
2019/10/22;2615.2765
2019/10/23;2622.49246
2019/10/24;2634.78206
2019/10/25;2645.10531
2019/10/28;2655.52318
2019/10/29;2651.77567
2019/10/30;2654.42983
2019/10/31;2643.22352
2019/11/01;2661.26394
2019/11/04;2679.049
2019/11/05;2698.46177
2019/11/06;2700.31589
2019/11/07;2715.38575
2019/11/08;2720.89423
2019/11/11;2711.58721
2019/11/12;2721.92846
2019/11/13;2717.16345
2019/11/14;2715.98766
2019/11/15;2724.3434
2019/11/18;2721.39948
2019/11/19;2722.14504
2019/11/20;2713.56076
2019/11/21;2704.25333
2019/11/22;2719.82666
2019/11/25;2744.49084
2019/11/26;2746.51589
2019/11/27;2760.35103
2019/11/28;2757.10175
2019/11/29;2739.34621
2019/12/02;2712.29333
2019/12/03;2694.4563
2019/12/04;2706.39812
2019/12/05;2710.61416
2019/12/06;2742.07588
2019/12/09;2733.86063
2019/12/10;2725.4423
2019/12/11;2734.45308
2019/12/12;2745.70456
2019/12/13;2757.28172
2019/12/16;2775.7126
2019/12/17;2775.14578
2019/12/18;2780.34637
2019/12/19;2789.91056
2019/12/20;2807.83249
2019/12/23;2809.33317
2019/12/24;2809.24571
2019/12/25;2808.49227
2019/12/26;2816.51892
2019/12/27;2808.1566
2019/12/30;2785.92207
2019/12/31;2784.80715
2020/01/01;2784.79946
2020/01/02;2812.76167
2020/01/03;2807.25986
2020/01/06;2798.66211
2020/01/07;2809.98554
2020/01/08;2818.45372
2020/01/09;2841.93476
2020/01/10;2838.34752
2020/01/13;2846.7905
2020/01/14;2850.43937
2020/01/15;2844.82063
2020/01/16;2862.70897
2020/01/17;2886.59834
2020/01/20;2888.86593
2020/01/21;2873.307
2020/01/22;2882.22707
2020/01/23;2882.57907
2020/01/24;2876.08086
2020/01/27;2832.67773
2020/01/28;2852.0649
2020/01/29;2852.50058
2020/01/30;2833.71101
2020/01/31;2788.52958
2020/02/03;2804.28486
2020/02/04;2849.90476
2020/02/05;2883.51069
2020/02/06;2906.45636
2020/02/07;2894.57829
2020/02/10;2912.16469
2020/02/11;2927.17809
2020/02/12;2949.95225
2020/02/13;2956.96752
2020/02/14;2959.2825
2020/02/17;2962.56572
2020/02/18;2951.02156
2020/02/19;2972.60811
2020/02/20;2954.7931
2020/02/21;2919.9847
2020/02/24;2832.9345
2020/02/25;2765.56846
2020/02/26;2749.51678
2020/02/27;2630.3168
2020/02/28;2584.41131
2020/03/02;2627.18036
2020/03/03;2586.36861
2020/03/04;2663.42947
2020/03/05;2601.23332
2020/03/06;2520.72564
2020/03/09;2321.6275
2020/03/10;2398.55839
2020/03/11;2325.66266
2020/03/12;2141.17538
2020/03/13;2254.42616
2020/03/16;2037.84426
2020/03/17;2139.75539
2020/03/18;2057.59078
2020/03/19;2088.95192
2020/03/20;2057.16373
2020/03/23;1976.62815
2020/03/24;2135.02738
2020/03/25;2187.0565
2020/03/26;2248.00837
2020/03/27;2189.13853
2020/03/30;2238.49368
2020/03/31;2236.92369
2020/04/01;2163.87774
2020/04/02;2202.08193
2020/04/03;2184.84558
2020/04/06;2307.37823
2020/04/07;2309.81133
2020/04/08;2360.73198
2020/04/09;2381.66105
2020/04/10;2383.58864
2020/04/13;2374.04241
2020/04/14;2416.48605
2020/04/15;2378.59406
2020/04/16;2393.70409
2020/04/17;2447.1506
2020/04/20;2423.19604
2020/04/21;2354.91672
2020/04/22;2403.7085
2020/04/23;2411.89146
2020/04/24;2425.13637
2020/04/27;2461.80194
